url	title	TotalKorean	EnglishRoot	ChineseRoot	KoreanRoot	UnknownRoot	EnglishRootList	ChineseRootList
http://www.iybrb.com/civ/content/2020-11/30/26_457989.html	중국화의 보편화, 연변국화원이 앞장선다-연변일보 Yanbian Daily	397	4	271	119	3	['코로나', '온라인', '인터뷰', '보이']	['형태', '불확실', '철학', '담고', '화폭', '보면', '중국화', '매력', '예술', '변국', '화원', '연변', '미술관', '공동', '개최', '변국', '화원', '작품', '전시회', '예정', '개최', '특수', '상황', '전시회', '전시', '형태', '여명', '국화', '원사', '공모', '폭', '작품', '순차', '전시', '계획', '현재', '기', '작품', '전시', '중이', '변국', '화원', '현재', '전', '주', '개', '현', '시', '명', '화가', '주', '최대', '규모', '전문', '국화', '조직', '건', '길림성', '규모', '국화', '북경', '체류', '관계', '변국', '화원', '전성', '원장', '전화', '전성', '원장', '변국', '화원', '설립', '당시', '초대', '원장', '원장', '소개', '변국', '화원', '서화', '예술', '창작', '학술', '연구', '주체', '국가', '예술', '창작', '학술', '연구', '기구', '법인', '자격', '비영리', '사회', '봉사', '종사', '전문', '화원', '변국', '화원', '설립', '초기', '대형', '서화', '전람', '공익', '사업', '국제', '교류', '활동', '조직', '해왔으며', '전통', '문화', '예술', '전파', '서화', '예술', '조국', '전통문화', '연구', '전승', '교류', '발전', '변국', '화원', '규모', '건', '중국화', '보편화', '중시', '해왔고', '화가', '양성', '노력', '해왔기', '원장', '변국', '화원', '완성', '화가', '비교', '수준', '애호가', '흡수', '화법', '개개인', '특장', '작품', '창작', '방향', '등', '화가', '양성', '집중', '지난', '한해', '여명', '중국화', '애호가', '흡수', '부언', '국화', '양성', '통해', '애호가', '화가', '중', '대표', '도', '정량', '양홍', '련', '도', '정량', '포도', '모란', '주로', '로년', '대학', '학생', '국화', '입문', '일선', '화가', '실력', '전원', '혹시', '문제', '례', '로년', '대학', '학생', '점', '변국', '화원', '원사', '원사', '대부분', '주내', '중국화', '애호가', '대부분', '강조', '전통', '전승', '층', '관심', '현실', '원장', '완성', '중국화', '화가', '경우', '전통', '대신', '대중', '구미', '작품', '창작', '급', '전통문화', '긍정', '극적', '변질', '우려', '표', '전통', '전승', '위해', '변국', '화원', '미성년', '성인', '상대로', '국화', '교실', '운영', '지역', '특색', '한국', '교류', '전시회', '조직', '형태', '불확실', '세계', '과정', '형식', '철학', '담고', '화폭', '보면', '중국화', '매력', '예술', '계승', '고양', '전파', '전성', '원장', '변국', '화원', '중국화', '주내', '보편화', '박', '은희', '기자']
http://www.iybrb.com/civ/content/2020-11/18/26_455888.html	고속뻐스의 창문은 왜 못 열게 해놨을가-연변일보 Yanbian Daily	337	26	183	123	5	['뻐스', '뻐스', '뻐스', '뻐스', '뻐스', '뻐스', '킬로', '메터', '뻐스', '뻐스', '뻐스', '뻐스', '뻐스', '뻐스', '뻐스', '뻐스', '인터내셔널', '에너지', '테스트', '뻐스', '에어컨', '뻐스', '뻐스', '뻐스', '뻐스', '뻐스']	['자동차', '지하철', '기차', '비행기', '등', '교통', '수단', '장', '단점', '장', '단점', '가격', '지하철', '리용', '편', '목적', '분할', '관', '운행', '이상', '이면', '운행', '구간', '이상', '고속도로', '운행', '기점', '종점', '중간', '정차', '하지', '리해', '하기', '장거리', '이동', '할', '하면', '이동', '할', '창문', '창문', '승객', '임의', '열지', '밀페형', '통', '유리', '경우', '밀페형', '분명', '창문', '승객', '리유', '속도', '이동', '운송', '수단', '경우', '례', '창문', '행동', '할', '수도', '무언가', '창문', '행동', '할', '수도', '행동', '사고', '미연', '방지', '하기', '목적', '두번째', '리유', '소음', '창문', '절음', '발생', '절음', '고속도로', '자동차', '운행', '경적', '편이', '장거리', '이동', '승객', '간의', '분쟁', '요소', '미연', '차단', '하기', '해서라도', '밀페형', '세번', '리유', '랭', '난방', '승객', '편의', '위해', '난방', '일부', '승객', '난', '방기', '창문', '여', '행동', '하기도', '랭', '난방', '온도', '위해', '연료', '소비', '통제', '하기', '해서라도', '밀페형', '창문', '리유', '연비', '미국', '관리', '공단', '등', '각각', '결과', '창문', '주행', '하면', '연비', '영향', '언급', '리', '유로', '창문', '밀페형', '순환', '문제', '관련', '해서는', '환기', '장치', '성능', '순환', '하지', '추가', '할', '내용', '위급', '상황', '발생', '대피', '문', '한정', '대피', '문제', '구비', '비상', '리용', '창문', '창문', '통해', '탈출', '창문', '밀페형', '창문', '설계되', '방법', '방법', '내', '구비', '등', '창문', '부분', '가격', '하면', '종합']
http://www.iybrb.com/civ/content/2020-11/20/26_456303.html	천일염 제작기예-연변일보 Yanbian Daily	213	3	136	70	4	['킬로', '메터', '톤']	['유서', '상산', '현', '천일염', '제작', '기예', '과학', '력사', '문화', '가치', '무형문화재', '종목', '절강성', '중부', '연해', '지역', '위치', '시', '상산', '현', '절강성', '대', '염산', '면', '상산', '현', '해안선', '절강성', '해안선', '년', '평균', '염도', '일조시간', '풍력', '자원', '천일염', '조건', '신당서', '지리', '리용', '시간', '유수', '염장', '설립', '일례', '북송', '시기', '옥천', '염장', '중국', '창건', '후', '백암산', '염장', '염장', '신교', '염장', '염장', '창국', '염장', '화', '오염', '등', '개', '염장', '건설', '호황', '기', '염장', '량', '생산', '신교', '염장', '년생산량', '좌우', '로동', '비해', '보수', '적은', '등', '원인', '상산', '현', '염', '점차', '하락', '선', '지금', '화', '오염', '상황', '천일염', '제작', '전통', '기예', '보호', '당지', '정부', '적극', '무형문화재', '신청', '패', '국가', '전통', '무형문화재', '선정', '대표', '승인', '상산', '현', '신교', '진', '외촌', '태생', '기강', '신교', '염장', '천일염', '제작', '담아', '사망', '한편', '제약', '천일염', '제작', '련', '개인', '여야', '수포', '일반', '좌우', '주기', '수요', '매년', '황금기', '무형문화재']
http://www.iybrb.com/civ/content/2020-08/21/26_437704.html	모든 것을 이뤄가는 그 바탕은 독서에-연변일보 Yanbian Daily	623	5	342	271	5	['하버드', '마시멜로', '릴레이', '풀어가는', '그룹']	['연길시', '중학', '동위', '교원', '대가', '인생', '대', '학생', '교원', '사명', '여간', '연길시', '중학교', '동위', '교원', '가치관', '인생', '시기', '학생', '성장', '책임지고', '년', '경험', '해오면서', '학급', '운영', '지침', '대해', '학급', '운영', '각종', '행사', '학생', '생활', '지도', '돌파구', '독서', '절실', '체험', '목표', '최선', '학구', '심어주는', '사춘기', '문제', '해결', '안목', '학급', '구상', '이뤄가는', '항상', '독서', '학급', '동위', '교원', '가정', '배경', '성향', '분석', '학급', '가정', '화목', '급', '초점', '학생', '필독', '추천', '책', '학교', '선생님', '호소', '책', '감동', '학생', '독서', '인격', '학생', '학급', '안식처', '가족', '민족', '념두', '두지', '자신', '존재', '가치', '준비', '학업', '중학', '목표', '학생', '심어주기', '위해', '동위', '교원', '책', '보물지도', '사서', '학생', '권', '선물', '책', '탐독', '중요성', '방법', '터득', '자신', '도화지', '형식', '창의', '시간', '자신', '한번', '미래', '시간', '수가', '하기', '위해', '보물지도', '발표회', '학부모', '참여', '하여', '자녀', '발표', '노력', '자녀', '포옹', '해주고', '격려', '시간', '자신', '보물지도', '방', '항상', '인도', '지침', '도록', '동위', '교원', '학급', '풍토', '통해', '학생', '포기', '하지', '최선', '학구', '하기', '위해', '절대', '네시', '반', '오체불만족', '등', '책', '학생', '추천', '학구', '자극', '자기', '관리', '등', '책', '후', '학생', '본보기', '자기', '관리', '방법', '자신', '결부', '실천', '해나가도록', '반성', '일기', '목표', '일기', '등', '매일', '견', '학생', '자기', '관리', '능력', '고', '장래', '자신', '독서', '진행', '매일', '수업', '시간', '리용', '감수', '발표', '학생', '학구', '동위', '교원', '지금', '년', '전', '리', '해초', '학생', '리', '해초', '학생', '자취', '불구', '학급', '리', '해초', '학생', '형편', '용돈', '생기', '책', '공부', '독서', '견', '후', '연변', '중', '졸업', '성적', '중점', '대학', '입학', '졸업', '할', '독서', '인도', '해주고', '책', '지도', '인사', '순간', '노력', '중', '병', '사춘기', '문제', '학부모', '교원', '곤혹', '다년', '교수', '사업', '종사', '해온', '동위', '교원', '사춘기', '문제', '문턱', '사춘기', '하기', '해서는', '부모', '교원', '우선', '사춘기', '발달', '교육', '관', '도서', '탐독', '학생', '판단력', '자신', '의지', '련', '마하', '지도', '동위', '교원', '자신', '본', '중', '사춘기', '고민', '선물', '어린', '왕자', '난', '청춘', '등', '책', '추천', '고민', '책보', '책', '자신', '타인', '문제점', '해결', '동위', '교원', '학급', '매일', '독서', '견', '방학', '매일', '책', '페지', '적어', '학급', '매일', '독서', '리치', '성장', '동반', '동위', '교원', '학급', '학교', '독서', '우수', '학급', '선정', '전', '주', '독서', '모범', '학급', '선정', '독서', '필요성', '중요성', '체험', '학급', '운영', '골격', '독서', '책', '책', '민족', '책', '기자']
http://www.iybrb.com/civ/content/2020-08/24/26_438241.html	다양하게, 풍성하게…민속문화의 축제 열렸다-연변일보 Yanbian Daily	387	11	236	135	5	['쇼', '팀', '팀', '카메라', '립스틱', '드라마', '크랭크', '크랭크', '쇼', '드라마', '보이']	['축제', '공연', '장식', '룡', '유회', '중국', '안도', '조선족', '민속', '문화', '축제', '장백산', '문화', '박람', '개최', '오전', '시간', '축제', '현장', '시민', '국가', '무형문화재', '등록', '화관', '농악무', '시작', '축제', '개막식', '아박무', '전통', '한복', '등', '민족', '특색', '종목', '관객', '건', '개막식', '공연', '장식', '룡', '유희', '경기', '급', '문화재', '지정', '룡', '유희', '보통', '정월대보름', '항전', '형태', '구성원', '결속', '세시', '참여자', '장관', '인원', '수로', '구성', '룡두', '지휘자', '신호', '상대편', '룡두', '공격', '상대', '룡두', '하면', '승리', '룡두', '지휘자', '상대', '지휘자', '룡두', '경우', '축제', '현장', '형식', '등장', '룡', '유희', '북', '인원', '수로', '구성', '청', '홍', '출격', '룡', '우', '지휘자', '신호', '신호', '룡두', '구성원', '상대편', '룡두', '공격', '룡두', '녀', '의', '함성', '룡두', '승리', '함성', '광장', '승리', '과시', '관객', '룡두', '풍채', '여념', '체험', '외', '무형문화재', '전통', '작품', '전시', '전통문화', '예술', '전시', '현장', '서화', '전시', '서법', '체험', '활동', '민족', '특색', '제품', '전시', '조선족', '전통', '음식', '체험', '민속', '체육', '종목', '축제', '주지', '축제', '내용', '련속', '축제', '현장', '시민', '음식', '전통', '유희', '할', '무형문화재', '승인', '작품', '포함', '민속', '상품', '구매', '할', '수도', '차원', '전', '민속', '단결', '주제', '한', '사진전', '수제', '향초', '방', '운영', '리청', '녀성', '창업', '달인', '축제', '참여', '전문', '구역', '시민', '상품', '편이라며', '축제', '통해', '상품', '기대', '내비', '축제', '현장', '관광객', '축제', '일환', '금추', '의식', '개최', '축제', '내용', '성함', '시작', '금추', '의식', '금추', '안도', '공연', '격정', '안도', '현장', '안도', '시민', '시각', '성연', '선물', '한편', '금추', '빈곤', '해탈', '난관', '공략', '전', '승리', '초', '사회', '전면', '건설', '사회', '배경', '설립', '촌', '주재', '간부', '주선', '당', '인민군', '대한', '배려', '집중']
http://www.iybrb.com/civ/content/2020-07/15/26_429407.html	드라마 《금추》 8월부터 촬영-연변일보 Yanbian Daily	196	6	142	46	2	['미디어', '드라마', '플랫폼', '시스템', '플랫폼', '드라마']	['농촌', '주재', '간부', '위원회', '설립', '주선', '인민', '정부', '길림', '장발', '문화', '유한회사', '공동', '기획', '길림', '방송국', '익', '국제', '집단', '길림', '주류', '유한회사', '협조', '참여', '련속', '금추', '가동', '식이', '진행', '만원', '투입', '련속', '금추', '빈곤', '해탈', '난관', '공략', '한해', '작품', '주제', '전면', '초', '사회', '건설', '배경', '농촌', '주재', '간부', '위원회', '혁신', '설립', '주선', '방위', '인민대중', '향', '당', '국가', '전면', '초', '사회', '건설', '중요성', '간고', '력사', '의의', '취지', '금추', '농촌', '주재', '서기', '사업', '대오', '층', '당원', '책임감', '적극성', '촌민', '전통', '사상', '관념', '락후', '생산', '식', '상황', '개', '내용', '지혜', '농업', '재배', '관리', '등', '선진', '과학', '관리', '기술', '서기', '홍보', '전시', '조선족', '한족', '만족', '등', '민족', '전통문화', '장백산', '문화', '홍색', '문화', '등', '유기', '통합', '가동', '국가', '중점', '빈곤', '현', '최근', '년', '질', '발전', '현재', '개', '빈곤', '촌', '세대', '명의', '빈곤', '인구', '빈곤', '해탈', '종합', '빈곤', '발생', '률', '종합', '평가', '전', '성', '한편', '촬영', '전파', '기자']
http://www.iybrb.com/civ/content/2020-08/27/26_439049.html	유쾌함 속에서 신생사물을 반영하는 늙은 량주 대창-연변일보 Yanbian Daily	230	0	160	70	0	[]	['량주', '대창', '화룡시', '화관', '제공', '대중', '인기', '구가', '량주', '대창', '지금', '약', '전', '조선족', '인민', '연변', '이주', '황무지', '개간', '점차', '규모', '형성', '해방', '후', '화룡', '현', '투도', '진', '부부', '연기', '공연', '하기', '시작', '태국', '리', '군', '당시', '군중', '호응', '종목', '량주', '대창', '붙여졌다', '화관', '설립', '량주', '대창', '가사', '곡', '대해', '가공', '정리', '하여', '규범', '발전', '개량', '량주', '대창', '관중', '보편', '인정', '년', '세월', '화룡시', '특유', '민간', '음악', '형식', '립', '화룡시', '정부', '량주', '대창', '대한', '발굴', '정리', '작업', '착수', '개선', '해왔으며', '지금', '무대', '활약', '왕성', '예술', '생명력', '과시', '위주', '독백', '결합', '량주', '대창', '연변', '지역', '특색', '오락', '종목', '유모', '가사', '편곡', '면', '조선족', '격', '특징', '희극', '효과', '부부', '분장', '배우', '대한', '제한', '배우', '연기', '할', '인기', '경우', '때로는', '애정', '표현', '때로는', '하기도', '부부', '연기', '배우', '진보', '인물', '형상', '신생', '사물', '현상', '표현', '군', '초보', '통계', '량주', '대창', '작품', '편', '대표', '작품', '공산당', '은정', '하지', '가', '부부', '생활', '이후', '우연', '등', '민간', '음악', '류', '무형문화재', '신청', '량주', '대창', '주급', '무형문화재', '입선', '종합']
http://www.iybrb.com/civ/content/2020-09/04/26_440996.html	미니영화 《그랬으면 얼마나 좋겠니》 개봉-연변일보 Yanbian Daily	153	7	74	65	7	['드라마', '미니', '미니', '드라마', '스마트폰', '드라마', '미니']	['영화', '개봉', '현장', '애호가', '협회', '연길', '영화', '개봉', '영화', '외국', '로무', '고향', '후', '남편', '충돌', '개봉', '외국', '로무', '후', '문화', '차이', '헤여', '가정', '현실', '극본', '애호가', '협회', '회장', '감독', '조선족', '사회', '출국', '시간', '부부', '가정', '생활', '유지', '하지', '사례', '원인', '외국', '가치', '문화', '고향', '문화', '충돌', '할', '부부', '리혼', '현실', '문제', '외국', '로무', '가정', '문제', '경종', '의도', '영화', '분량', '촬영', '후기', '작업', '진행', '애호가', '협회', '영화', '계정', '통해', '관람', '할', '사진', '실습생', '강', '채운']
http://www.iybrb.com/civ/content/2020-09/02/26_440410.html	단절이 아닌 새로운 련결 비대면 접촉 문화-연변일보 Yanbian Daily	824	51	416	349	8	['코로나', '앱', '앱', '서비스', '코로나', '앱', '쇼핑', '메시지', '메뉴', '시스템', '코로나', '콘서트', '코로나', '프로', '토크', '콘서트', '콘서트', '클릭', '콘서트', '록', '콘서트', '라지오', '라지오', '토크', '콘서트', '록', '코로나', '콘서트', '프로', '코로나', '컴퓨터', '인터넷', '코로나', '쇼핑', '사이즈', '온라인', '온라인', '쇼핑', '앱', '앱', '코드', '온라인', '커피숍', '코로나', '커피숍', '앱', '온라인', '앱', '앱', '코로나', '콘택트']	['비대', '문화', '학교', '영상', '회의', '리용', '수업', '복무', '통한', '무인', '결제', '음식', '주문', '하기와', '장보기', '등등', '비대', '면식', '소비', '대면', '상품', '거래', '시작', '비대', '문화', '대구', '점차', '면관', '소비자', '태도', '변화', '주요한', '원인', '이번', '사태', '지목', '통해', '명', '대해', '진행', '보편', '비대', '소비', '선호', '참가', '대상', '명중', '남성', '녀성', '기타', '가', '복무', '안내', '하면', '선택', '가', '할', '가', '선택', '가', '전화통화', '직접', '선택', '음식점', '주문', '할', '가', '결제', '리용', '비대', '주문', '선호', '가', '복무', '직접', '주문', '선택', '비대', '문화', '점', '대해', '남', '효률', '확산', '방지', '할', '사교', '활동', '등', '단점', '대해', '보편', '인간관계', '소통', '할', '람사', '사회', '진출', '해서', '관계', '등', '실제', '일부', '사회', '학자', '청년', '자신', '접촉', '접촉', '피하', '려고', '성향', '개인', '사회', '구성원', '내재', '능력', '우려', '하기도', '관객', '연길', '업종', '장기', '휴가', '방송', '분야', '출근', '견', '문화', '소비', '계속', '야심', '준비', '의', '진행', '토론', '관객', '추진', '결과', '관객', '생방송', '진행', '결과', '현장', '관중', '명의', '제한', '기록', '영향력', '면', '영향', '참가', '출연자', '관중', '실제', '관중', '표현', '최선', '관객', '매체', '융합', '대의', '산', '방송', '제한', '기획', '생방송', '접목', '시청자', '실시간', '교류', '관객', '진행', '장소', '제한', '점도', '책', '시도', '관객', '경험', '향후', '기획', '구성', '변화', '재택근무', '선택', '귀화', '연길', '가', '긴', '휴가', '회사', '복귀', '통지', '재택근무', '선택', '할', '경우', '월급', '지급', '제안', '월급', '식비', '기타', '보조금', '재택근무', '선택', '업무', '진행', '지장', '일이', '외출', '유치원', '문', '차', '재택근무', '정말', '송탄', '정도', '시간', '지나', '연변', '지역', '확진', '환자', '퇴원', '황', '황하', '민심', '정도', '회사', '복귀', '통지', '재택근무', '선택', '재택근무', '기간', '일상', '월급', '가치', '매일', '업무', '정해진', '시간', '능률', '완성', '출근', '하지', '시작', '음식', '정리', '역시', '재택근무', '친구', '종일', '기도', '종일', '일상', '대신', '한', '추억', '위로', '복무', '연길', '복무', '복무', '문의', '취향', '막무가내', '추천', '복무', '족', '은', '시대', '물세', '기세', '등', '결제', '휴대폰', '해결', '외식', '주문', '장보기', '주문', '하면', '채소', '배달', '종일', '기술', '문제', '무인', '주문', '음식점', '한번', '주문', '음식', '주문', '음식', '주문', '고', '소비', '형태', '소비자', '한편', '실제', '문', '보면', '무인', '결제', '복무', '변화', '소비', '형태', '방식', '류', '통방', '식이', '적극', '변화', '할', '영상통화', '진행', '독서', '애화', '가명', '상해', '전', '독서', '친구', '모', '독서', '회', '할', '격식', '주말', '모', '독서', '독서', '대해', '담론', '시간', '가', '후', '상회', '독서', '회', '상회', '소통', '전혀', '문제', '모', '진행', '독서', '회', '해서', '반감', '사실', '모', '독서', '회', '직접', '부비', '생동', '함', '영상', '단지', '정보', '주고', '점', '통신', '진행', '해서', '독서', '회의', '대면', '독서', '회', '수업', '회의', '진행', '할', '특수', '시기', '대안', '고유', '대면', '해서', '점', '사실', '산업', '발전', '생활', '해결', '할', '소통', '정서', '만족감', '할', '란', '접촉', '부정', '의미', '합성', '말로', '기술', '발전', '통해', '점원', '접촉', '물건', '구매', '등', '소비', '경향', '말함', '기자']
http://www.iybrb.com/civ/content/2020-08/28/26_439328.html	‘해리·포터’ 20돐 맞아-연변일보 Yanbian Daily	283	16	178	87	2	['포터', '포터', '시리즈', '포터', '포터', '팬', '포터', '시리즈', '마이농', '팬', '포터', '시리즈', '터링', '라빈', '포터', '팬']	['인민', '문학', '출판사', '일전', '상해', '항주', '차', '해리', '기념', '독자', '행사', '개최', '해리', '책임', '편집', '왕서', '금', '역자', '마애', '농', '행사', '참석', '독자', '우정', '성장', '마법', '세계', '통해', '독서', '슬러', '마법사', '비밀', '방', '반의', '죄수', '의', '중국어', '판이', '중국', '독자', '편의', '소설', '즉시', '학원', '미하', '청소년', '책', '해리', '한편', '소설', '의미', '특징', '해리', '의', '독서', '문화', '전국', '대부분', '도시', '중국', '해리', '중국', '진출', '이번', '행사', '왕서', '금은', '자신', '경험', '감수', '중국', '진출', '노력', '수확', '감동', '독자', '번역', '도서', '권', '탄생', '발전', '회고', '주문', '마법', '생물', '외국어', '작품', '생동감', '번', '역할', '독자', '견해', '근거', '마', '박은', '자신', '독서', '감상', '결부', '하여', '중국', '세대', '해리', '도서', '편집자', '험담', '공유', '독자', '학원', '개념', '기반', '인민', '문학', '출판사', '학원', '기념', '판본', '출시', '하여', '매력', '작품', '경축', '기존', '이번', '슬레', '네가지', '판본', '출시', '네가지', '판본', '최신', '번역', '문', '소설', '내용', '수록', '점', '책', '자기', '학원', '창립', '유명', '학생', '유명', '동문', '원장', '학원', '유령', '내용', '추가', '판본', '도서', '정은', '기타', '해리', '판본', '구별', '특징', '영국', '학원', '판본', '공예', '복제', '표지', '전부', '감촉', '금박', '인쇄', '공예', '적용', '상징', '학원', '배색', '진정', '소장', '가치', '기대', '종합']
http://www.iybrb.com/civ/content/2020-08/31/26_439849.html	독후감 쓰기 백일장 시상식 연길서-연변일보 Yanbian Daily	110	3	82	22	3	['온라인', '코로나', '온라인']	['당위', '선전', '부', '주관', '교육', '연변', '작가', '협회', '자선', '총회', '중국', '조선족', '소년', '보사', '협력', '변조', '선문', '독서', '협회', '연변', '청소년', '문화', '진흥', '회', '주관', '칠전팔기', '후원', '독서', '부모', '독후감', '시상식', '연길시', '신흥', '학교', '연변', '독서', '계렬', '행사', '중', '이번', '활동', '지난', '진행', '시상식', '역시', '여파', '형식', '진행', '주최', '이번', '활동', '여명', '학생', '여명', '학부모', '적극', '참여', '력대', '최고', '기록', '시상식', '훈춘시', '학교', '학년', '학급', '등', '명', '대상', '룡정', '북', '학교', '학년', '학급', '연길시', '공원', '학교', '학년', '학급', '등', '명', '금', '기자']
http://www.iybrb.com/civ/content/2020-08/30/26_439784.html	함성에 들썩, 춤사위에 흔들…춤꾼 100여명 ‘무요명월’서 “흠뻑”-연변일보 Yanbian Daily	417	33	235	143	6	['리듬', '아웃사이더', '스트리트댄스', '미디어', '스트리트댄스', '스트리트댄스', '스트리트댄스', '스트리트댄스', '댄서', '스트리트댄서', '플랫폼', '스트리트댄스', '스트리트댄스', '스트레스', '댄스', '팀', '스트리트댄스', '스트리트댄스', '프리스타일', '팀', '고릴라', '댄서', '스트리트댄스', '스트리트댄스', '스트리트댄스', '스트리트댄스', '힙합', '프리스타일', '프리스타일', '스트리트댄스', '시리즈', '시리즈', '스트리트댄스']	['음악', '대기', '선수', '나선', '당사자', '때로는', '때로는', '음악', '관중석', '상대방', '노력', '척', '승자', '합장', '격려', '포옹', '자유', '질서', '재능', '무한', '존중', '가', '세상', '의미', '명월', '도전', '시합', '당위', '선전', '부', '문화', '방송', '관광', '융합', '중심', '주최', '문화', '중심', '북경', '할', '빈', '심양', '장춘', '길림', '송원', '사평', '등', '도시', '명', '선수', '안도', '조직', '해왔지만', '규모', '외지', '선수', '대거', '참여', '시합', '건', '연변', '이번', '행사', '주관', '중국', '무용가', '협회', '위원회', '길림', '련맹', '부비', '서장', '연변', '위원회', '부주', '임인', '강', '성학', '씨', '소개', '강', '성학', '시합', '연변', '장춘', '기타', '지역', '선수', '연변', '선수', '감회', '전', '동북', '연변', '실력', '편이', '교류', '상황', '실제', '시합', '약', '연변', '선수', '주말', '개최', '강', '성학', '매력', '자유', '음악', '자연', '정도', '개인', '통해', '운동', '현재', '활동', '경력', '강', '성학', '매력', '교과서', '식이', '층', '환영', '립증', '시합', '참여', '장자', '진짜', '전국', '시합', '상', '실력', '분위기', '항목', '심사', '의', '리해', '림', '의', '감개', '무량', '실제', '예선', '본선', '시간', '경기', '지속', '열정', '장내', '내', '추지', '한번', '보면', '관심', '가질', '매력', '예술', '리해', '림', '연변', '친구', '시합', '교류', '기회', '적어', '대중', '적어', '분야', '접근', '도전', '하기', '토로', '지속', '행사', '기적', '공연', '문화', '문화', '리해', '림', '개최', '시합', '개', '경기', '항목', '형식', '진행', '예선', '본선', '우승', '준우승', '연변', '선수', '최', '주훈', '대', '항목', '우승', '한편', '행사', '현장', '문화', '방송', '관광', '류', '부국', '시합', '길림성', '시민', '문화', '활동', '개최', '문화', '관광', '체육', '행사', '개최', '할', '계획', '시합', '광장', '무시', '합', '등산', '문화', '축제', '개최', '할', '예정', '사진', '박', '은희', '기자']
http://www.iybrb.com/civ/content/2020-08/27/26_439048.html	서복동도전설-연변일보 Yanbian Daily	81	0	52	28	1	[]	['패', '국가', '민간', '문학', '류', '무형문화재', '확정', '서복', '동도', '전설', '은', '진', '발생', '차례', '대규모', '이민', '활동', '맥', '전하', '서복', '여명', '일본', '한국', '등', '동아시아', '지역', '전설', '전설', '지금', '심', '원한', '영향', '조성', '류형', '내용', '굴곡', '개성', '인물', '전해지는', '서복', '동도', '전설', '지역', '문화', '특징', '구비', '세계', '비밀', '탐색', '념원', '반영', '무형문화재']
